street_name,street_number,city,country_id
Colorado Lane,3,Middelburg,171
Stone Corner Avenue,5,Krasnyy Oktyabr’,172
Warner Way,7078,Proptisht,3
8th Center,92,Penambangan,92
Raven Crossing,73764,Quận Phú Nhuận,221
Karstens Lane,7,Lutou,42
Judy Avenue,9939,Novo,164
Anthes Circle,90195,Marcabal,158
Vera Road,172,Tegalgede,92
Dixon Drive,35,Morshansk,172
La Follette Terrace,811,Huambalpa,158
Randy Crossing,6,Goiana,30
Dayton Junction,31175,Assiniboia,37
Oak Crossing,697,Debesy,172
Sunbrook Plaza,1,Pesagen,92
6th Alley,795,Montfavet,70
Evergreen Center,43,Sumaré,30
Dayton Way,53,Songying,42
Birchwood Court,4,Shuicha,42
Becker Crossing,780,Tais,92
Basil Place,87934,Houmt Souk,207
Sunnyside Drive,2730,Manonjaya,92
Summit Road,23789,Tangjia,42
Killdeer Place,453,Perfilovo,172
Karstens Hill,9674,Kawasaki,105
Troy Center,71290,Aleysk,172
Anzinger Circle,69954,Al ‘Āliyah,207
Reinke Park,685,Cijayana,92
Arizona Drive,3,Wąbrzeźno,163
Monument Center,1266,Tianchi,42
Dunning Parkway,52,Mari,92
Algoma Road,9933,Lidingö,194
Holy Cross Trail,82115,Fatumuti,92
Sachtjen Alley,9,Ébolowa,44
Grayhawk Pass,6860,Lipie,163
Montana Hill,76,Międzyrzecz,163
Namekagon Avenue,81,Sechelt,37
New Castle Way,40,Doong,159
2nd Trail,9,Perth,13
Debs Crossing,4950,Pandanrejokrajan,92
Pepper Wood Court,929,Nanton,37
Corben Plaza,718,Ndano,92
Gale Pass,39,Vapnyarka,213
Tennessee Parkway,336,Cool űrhajó,1
Armistice Crossing,1,Baluk,92
Merchant Drive,789,Dawei,142
Evergreen Place,1,Kebonagung,92
Texas Terrace,167,Al Burayqah,116
Dapin Place,9611,Krasnapollye,26
Pankratz Road,51,Tīrān,95
Dovetail Place,1871,London,75
Del Sol Point,6725,Verkhneye Kazanishche,172
Buhler Park,58833,Duyang,42
Northland Hill,7773,Bandar ‘Abbās,95
Farmco Circle,2040,Tadou,42
Arrowood Way,1,Cachadinha,164
International Parkway,94505,Uruguaiana,30
Lindbergh Point,2,Canguçu,30
Milwaukee Park,142,Hats’avan,10
Dahle Center,1,Xinhua,42
Lotheville Alley,8279,Mesa,217
Thackeray Parkway,38667,Kalipare,92
Holmberg Point,34,Manay,159
Clyde Gallagher Center,14,Máncora,158
Derek Circle,4152,Spasskoye-Lutovinovo,172
Scofield Crossing,428,Vigia,30
Larry Way,3,Skopin,172
Melrose Trail,9312,Metz,70
Kennedy Hill,98,Tsaghkahovit,10
Debs Hill,9879,Pampas,158
Sheridan Drive,1,Ditang,42
Norway Maple Lane,880,Puerto Rico,47
Colorado Park,98664,Fristad,194
Fieldstone Circle,3506,Ticrapo,158
Dapin Avenue,612,Thị Trấn Việt Quang,221
Ridge Oak Pass,221,Volokolamsk,172
Bunker Hill Plaza,52,Qixing,42
Union Junction,50662,Motuo,42
John Wall Crossing,26,Emmen,146
Victoria Street,6989,Palotina,30
Basil Avenue,5260,Kuala Baru,92
Hoard Street,29493,Mabayo,159
Cordelia Crossing,4732,Guanqian,42
Hauk Place,576,Sang-e Chārak,1
Cherokee Lane,154,Feni,17
Hooker Alley,1341,Melaka,127
Northwestern Avenue,4198,Ciawi,92
South Street,738,Shimabara,105
Mallory Avenue,5396,Chicago,217
Acker Trail,9724,Amieira do Tejo,164
Hanson Park,16642,Falënki,172
Graceland Alley,598,Blama,181
Lakewood Gardens Crossing,2119,Dubréka,85
Lien Place,7,Horní Stropnice,55
Twin Pines Road,9,Seixo de Manhoses,164
Thompson Terrace,12557,Velikiye Luki,172
Saint Paul Park,1008,Izumo,105
Kinsman Point,58,Heqiao,42
Carberry Parkway,2,Novo Hamburgo,30
Utah Circle,818,Bilhorod-Dnistrovs’kyy,213
Sauthoff Court,4192,Maralik,10
Barnett Alley,0,Oneop,72
Briar Crest Road,6,Bradenton,217
West Alley,3,Télimélé,85
Prairieview Hill,27036,Toliara,124
Karstens Crossing,98520,Ogwashi-Uku,149
1st Street,73,Alubijid,159
Vahlen Court,27,Voiron,70
Graedel Road,991,Andir,92
Dakota Junction,609,Nanpiao,42
Canary Avenue,949,Soa,92
Elka Circle,8688,Barbacena,30
Sullivan Drive,6,São José,30
Oxford Way,1,Sobienie Jeziory,163
Karstens Court,67532,Goya,9
Dryden Alley,86,Vale de Figueira,164
Bartillon Lane,8,Serednye Vodyane,213
Florence Point,89,Melbourne,217
Bobwhite Plaza,8717,Krasnoye,172
Pearson Plaza,7,Murillo,47
Sheridan Hill,72,Baiyin,42
Northland Alley,2,Zagórze,163
Autumn Leaf Center,4,Las Cruces,217
Doe Crossing Point,16,Thị Trấn Phù Yên,221
Bayside Pass,3,Jieshou,42
8th Circle,79039,Minsk,26
Harper Street,14998,Aoyang,42
Sundown Circle,97915,Chengguan,42
Prairie Rose Circle,298,Banturkrajan,92
Red Cloud Lane,151,Nanxing,42
Carberry Parkway,51795,Verkhniy Lomov,172
Melvin Crossing,15,Sedandang,92
Magdeline Hill,72,Kolondiéba,135
Buell Hill,61,Krajan Sale,92
Corry Place,26239,Milaor,159
Golf View Way,807,Imulolong,92
Old Gate Way,7,Nahrīn,1
Talisman Park,40272,Alivéri,82
Armistice Terrace,91,Milín,55
Pepper Wood Alley,35738,Secang Barat,92
Anniversary Place,460,Welibo,92
Derek Hill,22,Yevlakh,15
Messerschmidt Circle,64827,Luopu,42
Havey Hill,52854,Shixi,42
Dahle Way,5,Lunel,70
Oxford Circle,43,Ceranów,163
Maple Wood Place,89,Ngaruawahia,153
Saint Paul Place,59195,Psary,163
Golden Leaf Avenue,12,Lianrao,42
Everett Terrace,29,Lakeland,217
Dryden Trail,5,Songhu,42
Park Meadow Park,79,Kabarnet,107
Morrow Court,41745,Helixi,42
Donald Court,58,Pelaya,47
Fulton Circle,81831,Colima,50
Green Ridge Way,8,Sumurwaru,92
Fisk Way,44,Santa Maria,131
Fisk Terrace,617,Bohutín,55
Coleman Plaza,985,Basarabeasca,129
Thackeray Crossing,9011,Al Quţayfah,196
Farwell Terrace,83169,Vyshneye Dolgoye,172
Comanche Pass,9071,Saihan Tal,42
Eagle Crest Parkway,953,Balakasap,92
Memorial Terrace,7,Bicurga,79
Spaight Point,16,Duobagou,42
Banding Circle,69,Sumberbatas,92
Monica Hill,6070,Oguma,149
Lillian Hill,467,Saint Paul,217
Comanche Place,6776,A Yun Pa,221
Anhalt Crossing,8173,Kaputian,159
Haas Center,22,Xinsheng,42
Reinke Plaza,9794,Puro,159
Melby Center,9,Barakani,48
Merry Park,96,Tashang,42
Swallow Crossing,6231,Dębe Wielkie,163
American Plaza,7890,Waiwejak,92
Ronald Regan Pass,896,Altan Emel,42
Morning Point,748,San Isidro,131
Talmadge Center,3,Nishinomiya-hama,105
Michigan Place,55,Aranyaprathet,200
Pankratz Court,391,Zbarazh,213
Old Shore Court,377,Huacrapuquio,158
Hazelcrest Way,95,Manzherok,172
Colorado Trail,4,Kiambu,107
Hoffman Alley,3769,Pinheiro,164
Westridge Hill,9586,Panggungsari,92
Comanche Pass,26,Timbulsari,92
Atwood Park,858,Ambilobe,124
Drewry Way,2,Gucheng,42
Sutteridge Circle,51924,Berlin,80
Donald Crossing,7928,Okegawa,105
Mitchell Drive,3,Junchuan,42
Fisk Drive,941,Tutul,92
Mayer Hill,96,Altona,37
Transport Parkway,7251,Mancos,158
Sommers Park,7,Neqāb,95
Buell Street,31553,Newark,217
Petterle Park,21,Žirovnica,182
Eagan Way,36,San Roque,159
Green Hill,25,Youwarou,135
School Plaza,2,Szombathely,91
Spenser Center,5,Yingtan,42
Forster Drive,9594,Miaotang,42
Nobel Circle,30759,Zhongcun,42
Manitowish Plaza,722,Glendale,217
Huxley Park,4,Järfälla,194
Clemons Park,3,Poniatowa,163
Spenser Alley,342,Avesta,194
Fallview Terrace,58005,São Mamede,164
Carioca Street,4,Weetombo,92
Comanche Park,96,Pagaden,92
Spohn Terrace,68,Mandikbatu,92
Kipling Lane,38687,Montreuil,70
Kropf Pass,0,Lianshan,42
Everett Street,13,Linqu,42
High Crossing Junction,9241,Solntsevo,172
Hanson Way,2,Vostochnyy,172
Colorado Lane,1247,Ferraria,164
Forest Run Hill,68000,Tawan tawan,159
Di Loreto Terrace,2716,Oshnavīyeh,95
Coleman Road,46971,Buenos Aires,158
Helena Way,91,Hongping,42
Lake View Trail,2,Bagay,159
Pearson Road,787,Mekarsari,92
Hansons Drive,2,Petrijevci,51
Westport Alley,68050,Port Saint Lucie,217
Merrick Center,9923,Kiuruvesi,69
Mitchell Park,31917,Pshada,172
Cottonwood Junction,5376,Bulakbanjar,92
Forest Run Parkway,32475,Egbe,149
Banding Parkway,942,Mafra,30
Washington Pass,4781,Jatiwangi,92
John Wall Way,82744,Thap Than,200
Lighthouse Bay Park,4,Xiahong,42
Welch Road,44,Antalaha,124
Waxwing Terrace,2,Hongdun,42
Cardinal Circle,94355,Cigalontang,92
Division Court,222,Ulme,164
Truax Pass,3723,Inuotose,105
Kenwood Center,92,Dalkey,96
Steensland Avenue,11244,Quinta,164
Manley Parkway,51,Nong Khai,200
Michigan Court,8650,Barnaul,172
Golden Leaf Hill,3640,Baohe,42
Hollow Ridge Hill,1006,Mayisyan,10
Bonner Center,0,Xiaolong,42
Tennyson Street,1380,Águas de Lindóia,30
4th Court,12558,Kalāt-e Nāderī,95
Dayton Road,19726,Kuala Terengganu,127
Prairieview Hill,3757,Frydek,163
Golf Course Pass,8522,Carpina,30
Hallows Drive,51816,Gaomi,42
Haas Plaza,1,Sudzha,172
Raven Crossing,90296,Tumpukrenteng,92
Quincy Avenue,375,Vikhorevka,172
Sherman Drive,72,Paradahan,159
Debs Lane,0,Valcheta,9
Toban Parkway,70244,Kalembutillu,92
Carberry Hill,5301,Smiřice,55
Weeping Birch Avenue,45,Svitlovods’k,213
Blaine Point,47082,Barretos,30
Waubesa Hill,1689,Vítkov,55
Buena Vista Plaza,8324,Heshui,42
Melvin Junction,76,Taibao,205
Lien Crossing,3,Taguisa,159
Erie Point,38,Batelov,55
Blue Bill Park Park,1,Boevange-sur-Attert,123
Dryden Trail,43,Shali,172
Blackbird Point,4,Västerås,194
Summit Street,1664,Zhengdonglu,42
Katie Street,9123,Besisahar,147
Vidon Way,82717,Bratislava,193
Village Park,0,Frederico Westphalen,30
Meadow Vale Drive,4,Cucutilla,47
Main Circle,529,Gubkinskiy,172
8th Circle,6,Paterson,217
East Trail,924,Leribe,119
Colorado Place,27,Vahdat,201
Mallard Hill,817,West Hartford,217
Kensington Center,3,Yanggu,110
Welch Hill,60,San José Poaquil,84
Lerdahl Trail,1,Fanyang,42
Spohn Place,67484,Golmud,42
Glendale Crossing,68,Kveda Chkhorots’q’u,78
Hoffman Hill,4,Heret,92
Summer Ridge Trail,53741,Dzaoudzi,70
Sheridan Road,14661,La Unión,158
Marquette Drive,8353,Ḩājī Khēl,1
Garrison Center,7,Tetandara,92
Hayes Road,840,Saint-Étienne,70
Nevada Avenue,1159,Ngerengere,197
Derek Circle,4361,Norberg,194
Transport Park,137,Phong Điền,221
Bowman Hill,6,Dongtucheng,42
Hauk Avenue,25,Bollstabruk,194
Katie Junction,352,Goczałkowice Zdrój,163
Blackbird Trail,660,Kyzyl,172
Forest Dale Trail,660,Kuznetsovs’k,213
Old Shore Drive,32,Okrika,149
Maywood Trail,44,Tijão,164
Sachs Court,40,Vágia,82
Aberg Trail,30,Redon,70
Paget Junction,3876,Albuquerque,217
Badeau Circle,972,Biyan,92
Pine View Way,3973,Santa Maria,159
Aberg Lane,63,Essen,80
Vidon Crossing,74,Orlová,55
Hazelcrest Pass,3964,Lansing,217
Texas Terrace,21493,Taloqan,1
Lakewood Circle,46440,Mardakyany,15
Vera Trail,61619,Cileles,92
Dayton Terrace,2,Majingklak,92
Browning Point,433,Oakville,37
4th Crossing,8411,Semenivka,213
Bultman Center,84355,Xiumei,42
Washington Terrace,211,Zvenyhorodka,213
Laurel Terrace,7155,Laliki,163
Cardinal Crossing,2515,Sungaikakap,92
Thierer Way,50,Fuli,42
Meadow Vale Point,70606,Waina,42
Merchant Hill,24562,Tall Abyaḑ,196
Debs Court,725,Radostowice,163
Vermont Street,60,Gjilan,111
Oneill Place,78521,Kebonan,92
Rieder Drive,690,Makuyuni,197
Hoepker Circle,611,Dong Liang’erzhuang,42
Toban Court,514,Garland,217
Atwood Junction,942,København,56
Bultman Way,54010,Smolensk,172
Norway Maple Trail,245,Circa,158
Cherokee Court,61071,Bhawāna,155
Fieldstone Plaza,468,Cimenga,92
Rockefeller Plaza,44492,Halimpu,92
Gulseth Pass,65,Huagai,42
Division Place,2,Aroeira,164
Eagan Parkway,343,Gostynin,163
Troy Alley,83,El Suyatal,90
Cambridge Terrace,684,Klatakan,92
Hallows Junction,1,Mqabba,136
Shasta Crossing,4153,Bouna,43
Merry Court,1,Ica,158
Garrison Drive,7,Keratéa,82
3rd Circle,98,Villeneuve-la-Garenne,70
Anniversary Plaza,1705,Dongshan,42
Hovde Place,245,Gaoshan,42
Bay Parkway,85,Vojnić,51
New Castle Avenue,744,Villejuif,70
Garrison Junction,239,Tampa,217
Holy Cross Crossing,23,Yandev,149
East Park,26058,Tambopata,158
John Wall Crossing,74918,Limbi,48
Ludington Place,89,Pilníkov,55
Sherman Avenue,105,Bakulong,159
Dorton Point,9,Xiaochengzi,42
Daystar Place,430,Oleksandriya,213
Darwin Park,25757,Montijo,156
Bunker Hill Lane,92,Beigou,42
Oakridge Road,224,Soavinandriana,124
Summerview Place,2,San Ricardo,159
Jenifer Crossing,8,Porto Salvo,164
Crowley Court,3,Sungai Raya,92
Lawn Junction,15,Shaghat,10
Arrowood Lane,8,Hongxing,42
Logan Crossing,3445,Shuikou,42
Bellgrove Lane,4,Nikopol’,213
7th Alley,35906,Heping,42
Maple Hill,1117,Huangyang,42
Birchwood Park,4192,Kranggan,92
Marcy Street,81309,Vetluzhskiy,172
Summerview Park,11,Molde,151
Milwaukee Place,70870,Szczecin,163
Hollow Ridge Lane,1,Karavan,108
Pawling Avenue,65607,Wang Nam Khiao,200
Talmadge Parkway,88886,Barcarena,30
Summer Ridge Hill,45817,Zebrzydowice,163
Heffernan Circle,75,Nanxia,42
Dakota Trail,5088,Warung Wetan,92
Spaight Parkway,52607,Seattle,217
Village Green Lane,820,Pniv,213
Surrey Circle,89,Mukhen,172
Northport Crossing,27678,Huangzhu,42
Sage Crossing,625,Kumla,194
Macpherson Point,6,Villeneuve-d'Ascq,70
Troy Drive,960,Non Suwan,200
Fairfield Way,342,Blumbang,92
Carpenter Avenue,69,Pucangkrajan,92
Anniversary Hill,0,Krikil,92
Swallow Trail,9,Pataha,92
Crownhardt Road,74655,Al Qarmadah,207
Manitowish Trail,5691,Dokolo,212
Killdeer Street,1,Longmiao,42
Northridge Lane,9,Oroin Xibe,42
Bashford Terrace,0,Huayuan,42
Alpine Way,43,Kingston,13
Packers Point,14,Myasnikyan,10
Milwaukee Lane,594,Vesëlyy,172
Fair Oaks Pass,44304,Telhado,164
Steensland Avenue,358,Baikouquan,42
Lillian Circle,32,Masaki-chō,105
Bunker Hill Pass,9,Banjar Budakeling,92
Grover Avenue,14712,Casal Galego,164
Sunnyside Hill,4174,Massaranduba,30
Northwestern Way,3763,Eloúnda,82
Kim Way,6,Morelos,131
Muir Avenue,37,Thạnh Phú,221
Di Loreto Alley,13515,Wuhu,42
Summit Trail,347,Ihuari,158
Erie Circle,39,Bamenda,44
Magdeline Road,93,Doropeti,92
Twin Pines Plaza,3673,Nzega,173
Butternut Junction,90938,Quesada,50
Mcbride Avenue,4,Arroyo Naranjo,53
Badeau Junction,789,Mikhaylovsk,172
Becker Way,4064,Zavolzh’ye,172
Barnett Hill,4935,Sosnovka,172
Mallory Place,15,Jubaoshan,42
Westport Terrace,1736,Ulaan Khat,132
Manitowish Junction,2495,Marcq-en-Barœul,70
Coleman Junction,53,Jianyangping,42
Nancy Junction,9892,Krasnokamensk,172
Washington Junction,25251,Tungipāra,17
Northland Point,5274,Karara,92
Nelson Hill,32534,Qingkenpao,42
Dottie Pass,43469,Banjar Batanpoh,92
Bobwhite Pass,1,Ubaté,47
Stone Corner Point,47391,Schiltigheim,70
Londonderry Alley,2319,Lynn,217
Holmberg Avenue,429,Trostyanets’,213
Browning Court,4,Passos,30
Ryan Hill,72,Wukou,42
Armistice Avenue,714,Tasikona,92
Hanson Drive,32358,Tubod,159
Stoughton Park,62,Ailigandí,156
Arrowood Pass,11898,Botoh,92
Superior Center,1991,São Tomé,164
West Street,485,Kristianstad,194
Summerview Road,8734,Casal das Figueiras,164
Mariners Cove Trail,1,Jaunpils,115
Lunder Place,2,Várzea Alegre,30
Amoth Alley,22850,Iłowa,163
Sunnyside Lane,0,Zagoryanskiy,172
Clemons Terrace,28,Sotíra,54
Trailsway Place,0,Solntsevo,172
Monument Lane,2294,Kuala Lumpur,127
Elgar Point,6583,Cipaku,92
Warner Place,4558,Göteborg,194
Mandrake Park,181,Kalāleh,95
Old Shore Trail,460,Smínthi,82
Linden Crossing,465,Ifanes,164
Ridge Oak Pass,44890,Ḩawf,226
Carey Pass,84,Guazacapán,84
Jenna Alley,198,Mali,42
Eggendart Parkway,2,Cijayana,92
John Wall Center,9,Bobigny,70
Twin Pines Plaza,85,Kárystos,82
Emmet Parkway,5418,Maych’ew,66
Springview Way,22,Karangnunggal,92
Reindahl Hill,4,Novonukutskiy,172
Waubesa Park,6766,Guangsheng,42
4th Point,977,Koroška Bela,182
Ryan Crossing,38785,Polovinnoye,172
Ludington Trail,2956,Ciervo Petiso,9
Dexter Court,6,Cawayan Bugtong,159
Clemons Avenue,728,Pejukutan,92
Westend Hill,54,Arys,106
Messerschmidt Way,11925,Villa Nueva,84
Goodland Avenue,7306,Liangshan,42
Warrior Hill,88146,Tharyarwady,142
Kipling Road,5,Palpalá,9
Forest Run Terrace,5,Pengchang,42
Dixon Hill,74930,Lille,70
2nd Place,729,Jibiya,149
Schmedeman Street,76058,Borlänge,194
Bunting Junction,5,Denton,217
Autumn Leaf Court,89028,Gembu,149
Derek Point,12536,Birigui,30
Heffernan Terrace,13,Caeté,30
Bluejay Court,2,Nanshe,42
Bartillon Hill,490,Granada,47
Forest Dale Road,254,Castelo,164
Rusk Trail,652,Kidričevo,182
Nancy Circle,47,Vermoim,164
Bobwhite Center,40,Chirpan,33
Southridge Plaza,562,Uppsala,194
Kenwood Street,92,Smidary,55
Transport Court,667,Monte Novo,164
Mcguire Court,36127,Bełsznica,163
Pawling Lane,432,El Rancho,90
Elka Way,47,Juncheng,42
Barby Hill,6288,San Antonio,47
Arrowood Park,6,Uacon,159
Maple Wood Way,9365,Jardín,47
Washington Point,88,Banjar Ambengan,92
Stephen Place,344,Damnoen Saduak,200
Brown Center,2,San Ramon,159
Ohio Place,81,Lasehao,92
Browning Plaza,10976,Balogo,159
Moose Pass,89702,Şaḩneh,95
Trailsway Park,59069,Bertoua,44
Ronald Regan Road,90187,Kuytun,172
Grover Street,9,Khawrah,226
Scoville Avenue,789,Zhongling,42
Blaine Drive,27,Valenciennes,70
Dovetail Place,733,Suchań,163
Mendota Way,8,Tanjungsari Barat,92
Heffernan Lane,17,Jirjā,61
Goodland Center,6042,Khallat ad Dār,160
Lien Park,267,Bečej,186
Scott Point,341,Cheb,55
Chinook Point,80499,Heshui,42
Golf Course Center,4951,Afántou,82
Hanson Alley,232,Kadupayung,92
Thackeray Circle,60,Nezvěstice,55
Washington Hill,5,Nanfeng,42
Lakewood Gardens Lane,7890,Agía Varvára,82
Trailsway Junction,6,Rasony,26
Barnett Lane,72,Stari Lec,186
Luster Terrace,2925,Fažana,51
Atwood Road,370,Ksour Essaf,207
Superior Place,53,Puan Selatan,92
Loftsgordon Road,7,Nova Pazova,186
Loeprich Court,912,Young America,217
Buhler Street,3982,Kedawung,92
Ramsey Terrace,36,Santa Lucía Cotzumalguapa,84
Brickson Park Way,246,Shengli,42
Pawling Drive,8,Bangus Kulon,92
Prentice Avenue,8442,Yoichi,105
Butterfield Circle,5,Chincha Baja,158
West Pass,8141,Doudleby nad Orlicí,55
Paget Trail,6,Seleuš,186
Stone Corner Street,733,Nueve de Julio,9
Killdeer Pass,28261,Konggar,42
Spohn Center,942,Nancheng,42
Bartillon Way,1511,Heyan,42
Sullivan Crossing,5,Klayusiwalan,92
Namekagon Parkway,8,Yaring,200
Melrose Lane,8266,Kungsör,194
Meadow Vale Hill,985,Ichupampa,158
Mandrake Court,4,Longsha,42
Southridge Point,82,Changcun,42
Melrose Alley,4,Shayuan,42
Basil Circle,122,Kuragaki-kosugi,105
Morrow Lane,1,Grängesberg,194
Del Mar Park,36935,High Prairie,37
Farwell Trail,6933,Rawa Satu,92
Arizona Junction,87,La Reforma,131
Badeau Drive,70,Bato,159
Bonner Avenue,23,Chadian,42
Carberry Street,34527,Krikil,92
Maywood Plaza,641,Lembur Tengah,92
Rieder Road,1574,Nicosia,54
Orin Circle,1,Zhangjiang,42
Iowa Junction,2,Huntington,217
Dryden Way,70,Dallas,217
Alpine Avenue,3697,Młynary,163
Crownhardt Center,5,Nogueira,164
Farragut Avenue,57622,Clanwilliam,171
Northfield Center,762,Huangjiakou,42
Sycamore Lane,3,Qızılhacılı,15
Luster Lane,842,Ntsoudjini,48
Claremont Point,7735,Comrat,129
Dennis Road,89224,Rožaje,137
Lindbergh Lane,9,Ust’-Labinsk,172
Bartillon Way,28860,Tianjiazhai,42
Lillian Avenue,759,Baiyin,42
Parkside Avenue,3867,Trancas,9
Sunnyside Court,8,Jagiełła,163
Mesta Circle,433,Oslo,151
American Pass,3,Lantian,42
Toban Road,89457,Weitian,42
Summit Alley,287,Chengkou,42
Dakota Parkway,8396,Cogtong,159
Lunder Lane,858,Klinan,159
Beilfuss Parkway,7154,Wenping,42
Fairfield Court,56061,Horokhiv,213
Thompson Point,7,Ylämaa,69
Village Green Park,75,Gucheng,42
Maywood Place,97,Caetité,30
Burning Wood Alley,91505,Shanling,42
Tennessee Park,4,Carazinho,30
Kinsman Court,8,Budapest,91
Cambridge Park,0,Bucay,159
Ilene Lane,63,Zhouzhuang,42
Old Gate Place,57196,Englewood,217
Laurel Pass,0,Drawsko Pomorskie,163
Calypso Plaza,93465,Lagoa,164
Burning Wood Junction,13191,Pinheiro,164
Dapin Court,4683,Woto,92
Laurel Circle,3,Mimbaan Timur,92
Spohn Avenue,7,Ngulakan,92
Veith Place,934,Ipoh,127
Swallow Circle,4334,Savski Venac,186
Trailsway Crossing,24,Rossosh’,172
Transport Center,8,Jishan,42
Stuart Hill,195,Buracan,159
Glendale Road,7201,Itaí,30
Muir Trail,70964,Nantian,42
5th Hill,83567,Sangallaya,158
Merry Pass,805,Wilmington,217
Basil Circle,0,Châteaudun,70
